Country,GenomeCount
Ancient,3.0
Argentina,0.0
Australia,107.0
Belarus,523.0
Belgium,3.0
Benin,1.0
Brazil,16.0
Canada,2024.0
Chimpanzee,1.0
China,1357.0
Colombia,8.0
Ecuador,2.0
Egypt,55.0
France,9.0
Germany,2.0
Ghana,379.0
Guatemala,22.0
India,124.0
Indonesia,6.0
Iran,23.0
Iraq,3.0
Italy,49.0
Japan,1697.0
Kazakhstan,756.0
Kenya,600.0
South Korea,40.0
Lab,68.0
Malaysia,3.0
Mali,1.0
Mexico,96.0
Republic of Moldova,884.0
Morocco,15.0
Mouse,271.0
Mozambique,17.0
Myanmar,2.0
Netherlands,15.0
New Zealand,1.0
Nigeria,2.0
Pakistan,2.0
Panama,0.0
Papua New Guinea,1.0
Peru,3.0
Philippines,126.0
Poland,1.0
Romania,2.0
Russia,97.0
Singapore,6.0
South Africa,2941.0
Sweden,2.0
Taiwan,7.0
Thailand,5.0
Tunisia,1.0
Turkey,1.0
United States,440.0
Uganda,309.0
Ukraine,1893.0
Unknown,17.0
Vietnam,783.0
Zambia,50.0
